名称,Link,Skills,time,选择
"【IEIR2024】Designing a LLM-driven Avatar System to Enhance Social Skills for Autistic Children    ",https://ieeexplore.ieee.org/document/10959902,"C#, DeepLearning & AI, Python, Unity",12/2023-6/2024,research
"Material Handling Robot Based on Visual Recognition Technology     ",,Arduino,03/2023-06/2023,hardware
"Creation of Virtual Singers based on Voice Conversion Technology   ",,"DeepLearning & AI, Python",03/2023-04/2023,
【UIST2025 Poster】What if I actually Run in a Running game: a novel Seated Walking-in-Place Locomotion Method in Immersive VR Running Games,https://programs.sigchi.org/uist/2025/program/content/209328,"C#, Unity, XR",12/2023-5/2024,research
"Intelligent Traffic Surveillance System Based on Computer Vision       ",,"DeepLearning & AI, Python",09/2023-12/2023,research
"How do street-level attributes, experienced through virtual reality, affect women's perceived safety in urban environments?",,"Oculus, Unity, User Study, XR",12/2024-02/2025,research
Imperial College London &Royal College of Art Winter School,,Design Thinking,,research
XR Multi-user jenga game,,"C#, Unity, XR",,game
CATSTRONAUTS: THE GREAT EARTH ESCAFE,,"Godot, Python, graphic design",,game
Heat seeker,,"Unity, graphic design",,game
"Split Up ",,"C++, Unity, graphic design",,game
[IEEE VR2026] Elementor: an Embodied Chemistry Learning Game Using Mixed Reality and Generative Artificial Intelligence,,"Unity, User Study, XR",,research
Sound house,,Arduino,,hardware
Mush·rooms,,Arduino,,hardware
"Bringing The Unseen to Life: Co-Designing AR Nature Stories
With Children",,"Unity, User Study, XR",,research
